2479442; Authenticated user can able to access manage account page; 3; GQA-15064
2625409; Authenticated user can able to change Email; 3; GQA-15064
2625509; Authenticated user can able to change password from Account Tab screen; 3; GQA-15064
2479457; Premier episode tile appears on Continue watching rail when a new episode is added to the service; 3; GQA-2826
2479463; Fully watched show is not displayed in Continue watching rail; 3; GQA-2826
2479678; Continue watching rail asset list is profile specific; 3; GQA-2826
2623337; -Validate Badging Signaling Newness  for New Series - CD16; 3; GQA-2819
2623239; -Validate Badging Signaling Newness  for a show/series with one new episode - CD-16; 3; GQA-2819
2623338; -Validate Badging Signaling Newness on a Show/Series with more than one New Episodes  - CD-16; 3; GQA-2819
2623240; -Validate Badging Signaling Newness  for New Show/Movie for global release date within 4 days - CD16; 3; GQA-2819
2623671; -Validate Badging Signaling  for New Show/Movie for global release date with NULL value - CD16; 3; GQA-2819
2623241; -Validate Badging Signaling Newness  for Trailer - CD16; 3; GQA-2819
2623220; -Validate Badging Signaling Newness  for Podcast Trailer - CD16; 3; GQA-2819
2623242; -Validate Badging Signaling Newness for Podcast New Episode - CD-16; 3; GQA-2819
2479448; Validate My List rail asset has no limit; 3; GQA-2818
2620746; Validating an asset is being added/queued in the order in which it was added; 3; GQA-2818
2611052; Validate MY List rail update behaviour on Home Page; 3; GQA-2818
2614914; Authenticated user resumes Live/VOD content from My List; 3; GQA-2818
2618646; Authenticated New User -Validating no My List rail on Home Page; 3; GQA-2818
2606570; Parental Controls - Content Ratings Page (web only); 3; GQA-2601, GQA-2805, GQA-2532
2606359; Parental Controls - Change Content Ratings when editing Kids profile (web only); 3; GQA-2601, GQA-2805, GQA-2532
2606956; Parental Controls - Change Kids Profile Ratings when adding Kids profile (web only); 3; GQA-2601, GQA-2805, GQA-2532
2672831; Parental Controls - Change Content ratings on web device and verify persistence on other device; 3; GQA-2601, GQA-2805, GQA-2532
2606571; Parental Controls - Exit Kids Profile Page; 3; GQA-2601, GQA-2805, GQA-2532, GQA-2674
2606600; Parental Controls - Enter Parent Code - validate <result> Parent Code; 3; GQA-2601, GQA-2805, GQA-2532
2611030; Parental Controls - Create Parent Code when adding Kids profile (web only); 3; GQA-2601, GQA-2805, GQA-2532
2611122; Parental Controls - Create Parent code when editing Kids profile (web only); 3; GQA-2601, GQA-2805, GQA-2532
2648440; Parental Controls - Reset Parent code from settings (web and mobile only); 3; GQA-2805
2626067; Parental Controls - KPE is Off when adding new profile; 3; GQA-2601, GQA-2805, GQA-2532
2611114; Parental Controls - Activate existing Parent Code when adding new Kids profile (web only); 3; GQA-2601, GQA-2805, GQA-2532
2611043; Parental Controls - Edit Parent Code (web only); 3; GQA-2601, GQA-2805, GQA-2532
